Generation,Average Fitness,Best Generational Fitness,Best Overall Fitness,Mutation Rate,H-Bonds,Overlaps
0,4.48,10.0,10.0,0.2,27,7
0,4.215,10.0,10.0,0.1,27,7
1,4.035,9.0,10.0,0.10200000000000001,27,7
2,3.935,10.0,10.0,0.10400000000000001,27,7
3,3.865,9.0,10.0,0.10600000000000001,27,7
4,3.775,9.0,10.0,0.10800000000000001,27,7
5,3.66,9.0,10.0,0.11,27,7
6,3.635,8.0,10.0,0.112,27,7
7,3.55,8.0,10.0,0.114,27,7
8,3.535,9.0,10.0,0.116,27,7
9,3.44,9.0,10.0,0.11800000000000001,27,7
10,3.625,7.0,10.0,0.12,27,7
11,3.845,8.0,10.0,0.122,27,7
12,3.65,8.0,10.0,0.124,27,7
13,3.485,8.0,10.0,0.126,27,7
14,3.51,8.0,10.0,0.128,27,7
15,3.68,8.0,10.0,0.13,27,7
16,3.765,9.0,10.0,0.132,27,7
17,3.935,8.0,10.0,0.134,27,7
18,3.835,7.0,10.0,0.136,27,7
19,3.915,8.0,10.0,0.138,27,7
20,3.8,8.0,10.0,0.14,27,7
21,3.76,8.0,10.0,0.14200000000000002,27,7
22,3.97,9.0,10.0,0.14400000000000002,27,7
23,4.0,8.0,10.0,0.14600000000000002,27,7
24,4.03,9.0,10.0,0.14800000000000002,27,7
25,4.015,10.0,10.0,0.15000000000000002,27,7
26,4.025,9.0,10.0,0.152,27,7
27,4.195,9.0,10.0,0.154,27,7
28,4.21,10.0,10.0,0.156,27,7
29,4.265,9.0,10.0,0.158,27,7
30,4.495,11.0,11.0,0.16,22,5
31,4.4,9.0,11.0,0.162,22,5
32,4.25,8.0,11.0,0.164,22,5
33,4.355,10.0,11.0,0.166,22,5
34,4.335,9.0,11.0,0.168,22,5
35,4.305,10.0,11.0,0.16999999999999998,22,5
36,4.36,10.0,11.0,0.172,22,5
37,4.42,11.0,11.0,0.174,22,5
38,4.53,10.0,11.0,0.176,22,5
39,4.56,10.0,11.0,0.178,22,5
40,4.56,11.0,11.0,0.18,22,5
41,4.34,10.0,11.0,0.182,22,5
42,4.43,11.0,11.0,0.184,22,5
43,4.56,14.0,14.0,0.186,28,5
44,4.77,11.0,14.0,0.188,28,5
45,4.935,11.0,14.0,0.19,28,5
46,5.225,11.0,14.0,0.192,28,5
47,5.015,11.0,14.0,0.194,28,5
48,5.125,13.0,14.0,0.196,28,5
49,5.015,10.0,14.0,0.198,28,5
50,4.915,10.0,14.0,0.2,28,5
51,4.87,11.0,14.0,0.202,28,5
52,4.96,12.0,14.0,0.204,28,5
53,4.91,11.0,14.0,0.20600000000000002,28,5
54,4.84,10.0,14.0,0.208,28,5
55,4.83,12.0,14.0,0.21,28,5
56,4.935,11.0,14.0,0.212,28,5
57,4.965,10.0,14.0,0.214,28,5
58,4.79,11.0,14.0,0.216,28,5
59,4.745,11.0,14.0,0.218,28,5
60,4.66,11.0,14.0,0.21999999999999997,28,5
61,4.755,11.0,14.0,0.222,28,5
62,4.71,10.0,14.0,0.22399999999999998,28,5
63,4.89,10.0,14.0,0.226,28,5
64,4.8,10.0,14.0,0.228,28,5
65,5.035,12.0,14.0,0.22999999999999998,28,5
66,4.885,11.0,14.0,0.232,28,5
67,4.79,11.0,14.0,0.23399999999999999,28,5
68,4.805,13.0,14.0,0.23600000000000002,28,5
69,4.76,11.0,14.0,0.238,28,5
70,4.79,12.0,14.0,0.24,28,5
71,4.825,10.0,14.0,0.242,28,5
72,4.8,11.0,14.0,0.244,28,5
73,4.71,10.0,14.0,0.246,28,5
74,4.845,10.0,14.0,0.248,28,5
75,4.665,11.0,14.0,0.25,28,5
76,4.615,10.0,14.0,0.252,28,5
77,4.995,11.0,14.0,0.254,28,5
78,4.92,11.0,14.0,0.256,28,5
79,4.835,10.0,14.0,0.258,28,5
80,4.835,12.0,14.0,0.26,28,5
81,4.755,13.0,14.0,0.262,28,5
82,4.865,11.0,14.0,0.264,28,5
83,4.825,12.0,14.0,0.266,28,5
84,5.055,11.0,14.0,0.268,28,5
85,5.145,10.0,14.0,0.27,28,5
86,5.11,12.0,14.0,0.272,28,5
87,4.865,11.0,14.0,0.274,28,5
88,4.865,13.0,14.0,0.276,28,5
89,5.07,11.0,14.0,0.27799999999999997,28,5
90,4.825,11.0,14.0,0.28,28,5
91,4.785,12.0,14.0,0.28200000000000003,28,5
92,5.045,10.0,14.0,0.28400000000000003,28,5
93,4.85,11.0,14.0,0.286,28,5
94,4.61,10.0,14.0,0.288,28,5
95,4.575,11.0,14.0,0.29000000000000004,28,5
96,4.745,11.0,14.0,0.29200000000000004,28,5
97,4.755,10.0,14.0,0.294,28,5
98,4.645,12.0,14.0,0.296,28,5
99,4.755,12.0,14.0,0.298,28,5
